-68,-145
-150,-32
-145,124
-66,-141
-121,-101
-138,128
41,24
-64,-6
71,-38
-145,-4
0,127
149,115
15,57
105,-27
99,65
19,-8
62,-82
-138,102
142,-54
115,-8
52,95
145,-9
6,-54
34,113
43,-74
-127,144
-115,27
-89,-81
21,-143
-74,121
117,99
141,31
-144,70
-50,10
-81,130
137,-97
138,-90
27,-147
93,40
-150,2
-131,-55
39,14
8,-66
-16,-116
-15,71
-12,125
-124,-84
-66,-63
13,-124
56,-108
0,-143
-44,43
53,-95
-108,84
133,-58
92,23
136,-66
100,-92
-14,-67
-84,-38
150,65
-69,-15
-74,55
-66,119
32,-107
94,-49
-31,62
-109,-116
141,-80
-14,-36
107,140
-108,-123
-84,125
95,-90
-78,-114
-118,91
102,92
-101,102
2,-92
-70,120
84,-20
113,-36
-27,25
127,6
12,-116
-130,97
72,4
17,-124
13,-8
-47,63
-30,133
44,123
-54,19
-126,-39
-123,141
146,5
77,87
143,29
21,104
-114,73
